Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AAPL,149.02,Put,155,2022-09-16,0,5.85,5.9,5.95,5.89,4348,34995,"-23,986",0.00%,"11:00 ET"
KBH,28.07,Put,15,2024-01-19,490,0.9,1,1.1,1.02,10901,2861,"-16,477",55.72%,"10:55 ET"
AAPL,149.02,Call,150,2022-09-16,0,0.41,0.42,0.42,0.4,65602,34976,"-12,763",26.03%,"11:00 ET"
AAPL,149.02,Put,150,2022-09-16,0,1.27,1.29,1.3,1.3,66388,94306,"-11,472",23.14%,"11:00 ET"
JPM,116.3,Put,120,2022-09-16,0,3.5,3.58,3.65,3.6,10606,10450,"-10,666",0.00%,"10:57 ET"
F,14.62,Put,15,2022-09-16,0,0.36,0.37,0.38,0.41,703,116617,"-9,042",57.43%,"10:50 ET"
TSLA,296.9,Call,300,2022-09-16,0,0.65,0.66,0.67,0.71,37149,34198,"-6,880",29.18%,"11:10 ET"
BAC,33.92,Call,34,2022-09-16,0,0.18,0.19,0.19,0.17,2929,19344,"-5,727",31.01%,"11:05 ET"
AMZN,122.07,Put,130,2022-09-16,0,7.85,7.93,8,8.35,665,32371,"-5,703",69.71%,"11:02 ET"
SOFI,6.16,Call,6,2022-09-16,0,0.17,0.18,0.19,0.18,807,22786,"-5,469",58.44%,"11:04 ET"
AAPL,149.02,Put,160,2022-09-16,0,10.9,10.95,11,10.94,1864,40418,"-4,910",65.29%,"11:00 ET"
AAPL,149.02,Put,152.5,2022-09-16,0,3.4,3.45,3.5,3.41,8722,31120,"-4,510",25.66%,"11:00 ET"
DKNG,18.9,Call,18.5,2022-09-16,0,0.43,0.45,0.47,0.45,820,4580,"-3,767",0.00%,"10:47 ET"
BABA,86.47,Put,85,2022-09-16,0,0.13,0.14,0.14,0.15,3595,12641,"-3,285",34.22%,"11:04 ET"
META,146.22,Put,150,2022-09-16,0,3.55,3.6,3.65,3.65,2103,21497,"-3,233",73.03%,"10:50 ET"
AAPL,149.02,Put,157.5,2022-09-16,0,8.35,8.43,8.5,8.54,910,20055,"-3,080",52.85%,"10:59 ET"
ATUS,8.73,Put,9,2022-09-16,0,0.25,0.3,0.35,0.25,947,31851,"-3,037",105.07%,"10:08 ET"
META,146.22,Put,145,2022-09-16,0,0.42,0.43,0.44,0.41,7693,24138,"-2,184",44.56%,"10:50 ET"
NVDA,129.05,Put,135,2022-09-16,0,5.3,5.35,5.4,5.18,561,12249,"-1,828",102.44%,"10:53 ET"
TSLA,296.9,Call,295,2022-09-16,0,2.91,2.94,2.97,3.15,3761,10621,"-1,818",30.06%,"11:10 ET"
TWTR,41.56,Put,42,2022-09-16,0,0.31,0.36,0.41,0.4,996,11481,"-1,815",0.00%,"11:01 ET"
