Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
AAPL,150.7,Put,140,2022-10-21,35,2.82,2.84,2.86,2.84,32491,101467,"+33,840",39.06%,2022-09-16
PTON,9.74,Call,25,2024-01-19,490,1.11,1.24,1.36,1.23,500,55885,"+30,051",81.11%,2022-09-16
MSFT,244.74,Put,225,2022-10-21,35,3.3,3.38,3.45,3.25,3013,29120,"+25,706",36.27%,2022-09-16
SBLK,19.6,Call,22,2023-01-20,126,1.15,1.23,1.3,1.2,1017,22825,"+21,608",56.90%,2022-09-16
AAL,13.75,Put,5,2025-01-17,854,0.74,0.78,0.83,0.78,10593,95312,"+21,011",75.98%,2022-09-16
CHPT,17.97,Call,20,2022-09-23,7,0.21,0.22,0.23,0.24,1667,20973,"+20,128",84.77%,2022-09-16
KBH,28.37,Put,15,2025-01-17,854,1.5,1.65,1.8,1.72,1750,19003,"+19,003",53.13%,2022-09-16
CHPT,17.97,Put,19,2022-09-16,0,0.94,1.06,1.17,0.94,1805,16967,"+16,594",129.02%,2022-09-16
AMZN,123.53,Call,125,2022-10-21,35,5.8,5.88,5.95,5.9,9242,31498,"+15,786",41.97%,2022-09-16
TSM,77.89,Put,75,2022-10-21,35,2.36,2.4,2.44,2.41,2116,29713,"+15,351",39.25%,2022-09-16
AAPL,150.7,Put,130,2022-10-21,35,1.24,1.25,1.26,1.25,16945,43255,"+15,014",43.37%,2022-09-16
KO,59.54,Call,62.5,2022-10-21,35,0.45,0.48,0.5,0.5,4110,29932,"+14,376",20.64%,2022-09-16
AMZN,123.53,Call,140,2022-10-21,35,1.15,1.17,1.18,1.18,10737,44496,"+13,528",37.82%,2022-09-16
GOOGL,102.8,Call,110,2022-10-21,35,1.72,1.75,1.77,1.72,1756,36668,"+13,427",32.97%,2022-09-16
AMZN,123.53,Put,125,2022-10-21,35,6.85,6.93,7,6.9,8212,38856,"+12,692",41.21%,2022-09-16
AAPL,150.7,Put,145,2022-09-23,7,1.19,1.21,1.24,1.21,40517,16297,"+10,976",40.68%,2022-09-16
CHPT,17.97,Put,19,2022-09-23,7,1.45,1.5,1.55,1.45,1601,10840,"+10,806",82.49%,2022-09-16
ATUS,8.56,Put,8,2022-10-21,35,0.5,0.53,0.55,0.5,1342,18560,"+10,445",74.02%,2022-09-16
PARA,22.73,Call,25,2022-10-21,35,0.58,0.62,0.65,0.6,547,14134,"+10,063",50.10%,2022-09-16
NEE,84.79,Put,75,2022-11-18,63,1.1,1.18,1.25,1.16,2514,10014,"+10,014",33.86%,2022-09-16
BHC,7.38,Put,3,2025-01-17,854,0.91,1.15,1.39,1.3,10003,30004,"+10,001",122.00%,2022-09-16
TWTR,41.45,Call,45,2022-10-21,35,1.4,1.46,1.52,1.44,589,27396,"+9,990",53.18%,2022-09-16
AAPL,150.7,Put,140,2022-11-18,63,4.9,4.95,5,4.95,5563,32655,"+9,489",39.62%,2022-09-16
TWTR,41.45,Put,30,2022-12-16,91,2.98,3.14,3.3,3.05,3440,41030,"+8,786",107.67%,2022-09-16
TWTR,41.45,Put,24,2022-12-16,91,1.45,1.59,1.72,1.59,20009,19656,"+8,749",115.60%,2022-09-16
DIS,108.25,Put,110,2022-10-21,35,5.35,5.45,5.55,5.4,1189,17845,"+8,394",34.25%,2022-09-16
AFRM,22.3,Put,20,2022-11-18,63,3.05,3.1,3.15,3.05,570,9742,"+8,112",119.48%,2022-09-16
COTY,7.69,Call,8,2022-09-23,7,0.15,0.16,0.17,0.17,5710,8288,"+7,866",68.93%,2022-09-16
MU,52.85,Put,42.5,2022-10-21,35,0.51,0.52,0.53,0.51,1268,11763,"+7,821",59.99%,2022-09-16
DIS,108.25,Call,110,2022-10-21,35,4,4.08,4.15,4.1,2434,11695,"+7,388",35.63%,2022-09-16
DKNG,18.6,Call,20,2022-09-23,7,0.33,0.35,0.36,0.36,2168,10920,"+7,280",83.33%,2022-09-16
MU,52.85,Put,40,2022-10-21,35,0.3,0.31,0.32,0.31,2759,10149,"+7,263",63.40%,2022-09-16
PLTR,7.78,Call,8,2022-10-21,35,0.5,0.51,0.52,0.52,1472,12196,"+6,609",63.22%,2022-09-16
PLTR,7.78,Put,8,2022-10-21,35,0.71,0.72,0.72,0.71,1538,13230,"+6,600",62.11%,2022-09-16
AAPL,150.7,Put,140,2023-01-20,126,7.3,7.35,7.4,7.35,3545,46885,"+6,365",36.57%,2022-09-16
NCLH,15.31,Put,15,2022-09-23,7,0.43,0.44,0.45,0.43,2795,6802,"+6,330",68.38%,2022-09-16
TCDA,10.77,Put,2.5,2022-10-21,35,0.25,0.33,0.4,0.35,4887,6912,"+6,311",407.70%,2022-09-16
GRAB,2.98,Call,3.5,2022-10-21,35,0.15,0.18,0.2,0.2,11450,7235,"+6,306",102.02%,2022-09-16
NCLH,15.31,Call,16,2022-09-23,7,0.29,0.3,0.31,0.3,635,7196,"+6,177",67.15%,2022-09-16
AAPL,150.7,Put,155,2022-09-30,14,6.45,6.58,6.7,6.35,19174,13904,"+6,062",34.62%,2022-09-16
PLTR,7.78,Call,13,2024-01-19,490,1.02,1.07,1.11,1.07,1410,30424,"+5,778",61.93%,2022-09-16
AAPL,150.7,Put,130,2022-10-28,42,1.75,1.8,1.84,1.83,854,6412,"+5,772",44.98%,2022-09-16
