Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int","OI Chg",IV,Time
VALE,13.4,Call,15,2022-11-18,59,0.46,0.49,0.51,0.48,721,153013,"+151,598",49.45%,2022-09-20
VALE,13.4,Call,14,2022-11-18,59,0.81,0.83,0.84,0.82,539,152543,"+151,257",51.20%,2022-09-20
SLB,38.5,Call,46,2022-10-21,31,0.31,0.32,0.32,0.32,22407,51182,"+51,182",49.51%,2022-09-20
LAZR,9.53,Call,10.5,2022-09-30,10,0.2,0.22,0.23,0.21,3531,43419,"+43,015",85.75%,2022-09-20
NKLA,4.56,Put,4.5,2022-10-07,17,0.27,0.29,0.3,0.28,10188,30559,"+30,356",79.91%,2022-09-20
NKLA,4.56,Put,4.5,2022-10-21,31,0.39,0.41,0.42,0.4,10087,25349,"+25,349",82.60%,2022-09-20
CLNN,3.02,Put,1,2022-10-21,31,0.15,0.18,0.2,0.15,16210,34435,"+24,709",384.30%,2022-09-20
T,16.56,Call,18,2022-11-18,59,0.16,0.17,0.18,0.17,3866,28351,"+20,946",24.57%,2022-09-20
KGC,3.51,Call,4,2022-12-16,87,0.23,0.24,0.24,0.23,2014,23685,"+20,779",59.75%,2022-09-20
CHPT,16.44,Call,19,2022-09-30,10,0.2,0.21,0.22,0.2,1125,21159,"+20,047",85.37%,2022-09-20
DVN,65.12,Call,80,2022-10-21,31,0.43,0.48,0.53,0.53,938,33797,"+19,202",54.39%,2022-09-20
JPM,115.83,Call,135,2022-12-16,87,0.99,1.05,1.11,1.06,783,23544,"+19,138",27.74%,2022-09-20
MLCO,6.05,Call,7,2022-10-21,31,0.3,0.32,0.35,0.35,2920,25217,"+18,624",95.93%,2022-09-20
AAPL,156.9,Put,150,2022-12-16,87,7.05,7.13,7.2,7.2,5242,54856,"+17,870",35.43%,2022-09-20
MPW,13.14,Put,10,2022-10-21,31,0.1,0.13,0.15,0.1,811,18445,"+16,975",69.59%,2022-09-20
JNJ,164.97,Call,180,2022-12-16,87,1.13,1.21,1.28,1.28,2459,15189,"+15,184",18.05%,2022-09-20
TSLA,308.73,Call,375,2022-10-21,31,2.53,2.58,2.62,2.57,526,14327,"+14,327",52.38%,2022-09-20
LYFT,16.87,Put,15,2022-11-18,59,1.32,1.34,1.35,1.33,759,14192,"+13,547",85.09%,2022-09-20
TSLA,308.73,Put,291.67,2022-09-23,3,1.29,1.32,1.35,1.38,3179,15244,"+13,116",61.28%,2022-09-20
CVX,156.28,Call,185,2022-12-16,87,1.65,1.69,1.73,1.68,883,13091,"+12,575",31.14%,2022-09-20
PLTK,10.44,Put,15,2022-10-21,31,4.6,4.75,4.9,4.8,4400,27295,"+12,266",110.67%,2022-09-20
TSLA,308.73,Put,290,2022-09-23,3,1.07,1.09,1.11,1.11,31509,24632,"+11,738",61.89%,2022-09-20
TSLA,308.73,Put,300,2022-09-23,3,3.1,3.13,3.15,3.1,89210,20533,"+11,638",59.79%,2022-09-20
CHPT,16.44,Call,18,2022-09-23,3,0.13,0.14,0.15,0.13,2878,12933,"+11,344",99.90%,2022-09-20
LNG,168.05,Put,135,2022-10-21,31,0.9,0.95,1,0.94,1054,15017,"+10,503",55.13%,2022-09-20
CHPT,16.44,Put,16.5,2022-09-23,3,0.61,0.63,0.64,0.63,3809,10809,"+10,333",100.93%,2022-09-20
AAL,13.97,Call,16,2022-11-18,59,0.57,0.59,0.61,0.62,745,33552,"+10,197",56.52%,2022-09-20
NKLA,4.56,Call,5,2022-10-21,31,0.25,0.26,0.26,0.25,5178,13820,"+10,146",77.85%,2022-09-20
GOOG,101.83,Call,100,2022-10-21,31,5.4,5.5,5.6,5.65,2351,12179,"+10,094",37.55%,2022-09-20
ZM,77.09,Call,80,2022-09-23,3,0.75,0.79,0.83,0.78,1154,10537,"+9,982",66.35%,2022-09-20
GOOG,101.83,Put,100,2022-10-21,31,3.3,3.4,3.5,3.46,2740,16634,"+9,817",37.55%,2022-09-20
ABBV,141.77,Call,155,2022-10-21,31,0.2,0.28,0.36,0.3,3253,13418,"+9,804",21.32%,2022-09-20
META,146.09,Call,150,2022-09-23,3,1.76,1.78,1.8,1.76,10481,12147,"+8,148",62.56%,2022-09-20
RIOT,6.22,Call,10,2022-10-21,31,0.1,0.11,0.12,0.12,3563,15763,"+8,075",122.39%,2022-09-20
LI,25.34,Call,29,2022-10-21,31,0.69,0.71,0.73,0.7,595,8364,"+8,006",63.75%,2022-09-20
WBD,13.21,Put,12.5,2022-11-18,59,0.95,0.97,0.98,1.01,17075,36577,"+8,003",63.78%,2022-09-20
RIOT,6.22,Put,10,2022-10-21,31,3.85,3.9,3.95,3.82,3034,11174,"+8,000",126.55%,2022-09-20
FCX,29.72,Call,37,2022-10-14,24,0.14,0.18,0.21,0.14,5141,18530,"+7,928",56.64%,2022-09-20
TSLA,308.73,Call,310,2022-09-23,3,5.8,5.88,5.95,5.9,145470,20989,"+7,920",57.99%,2022-09-20
GIS,75.41,Call,77.5,2022-10-21,31,0.95,0.98,1,1,7245,10166,"+7,835",21.01%,2022-09-20
DOW,46.09,Call,52.5,2022-11-18,59,0.63,0.65,0.66,0.62,596,9834,"+7,568",35.53%,2022-09-20
RIG,2.73,Put,2.5,2024-01-19,486,0.65,0.67,0.68,0.67,2045,19506,"+7,500",72.37%,2022-09-20
AMLX,29.87,Put,20,2022-10-21,31,1.25,1.33,1.4,1.35,3289,9265,"+7,234",167.78%,2022-09-20
TSLA,308.73,Put,280,2022-09-23,3,0.32,0.33,0.33,0.33,15168,15283,"+7,194",64.29%,2022-09-20
NIO,20.41,Put,19.5,2022-09-23,3,0.28,0.29,0.29,0.28,5415,7967,"+6,506",88.02%,2022-09-20
C,47.25,Put,45,2024-01-19,486,5.75,5.83,5.9,5.9,1108,26095,"+6,432",34.16%,2022-09-20
AAPL,156.9,Put,145,2022-09-23,3,0.21,0.22,0.22,0.2,34809,25861,"+6,377",57.07%,2022-09-20
MRNA,129.71,Put,120,2022-09-23,3,0.74,0.78,0.83,0.82,7937,7081,"+6,333",86.35%,2022-09-20
AAPL,156.9,Put,155,2022-12-16,87,8.95,9.02,9.1,9.05,9856,22603,"+6,269",33.97%,2022-09-20
PYPL,91.63,Put,92.5,2022-10-21,31,5.8,5.88,5.95,5.85,815,10727,"+6,214",51.46%,2022-09-20
SHOP,30.95,Put,30,2022-10-21,31,2.31,2.35,2.39,2.36,1159,12432,"+6,151",80.31%,2022-09-20
GME,27.54,Call,35,2022-09-23,3,0.17,0.18,0.18,0.18,7064,14499,"+6,146",185.24%,2022-09-20
AAPL,156.9,Put,130,2022-10-21,31,0.66,0.68,0.69,0.68,3724,54820,"+6,052",46.04%,2022-09-20
TSLA,308.73,Call,325,2022-09-23,3,1.19,1.23,1.28,1.23,22135,11938,"+5,967",54.68%,2022-09-20
SHOP,30.95,Call,30,2022-10-21,31,3.35,3.4,3.45,3.35,713,7855,"+5,965",79.65%,2022-09-20
AAPL,156.9,Call,165,2022-09-23,3,0.28,0.29,0.29,0.28,41341,25375,"+5,911",42.48%,2022-09-20
XOM,92.44,Call,110,2022-12-16,87,1.11,1.16,1.21,1.22,3408,20047,"+5,836",33.39%,2022-09-20
TCDA,10.01,Put,2.5,2022-11-18,59,0.75,0.83,0.9,0.75,2775,8145,"+5,744",410.30%,2022-09-20
LI,25.34,Call,26,2022-09-30,10,0.84,0.87,0.89,0.89,3840,5958,"+5,712",69.92%,2022-09-20
GME,27.54,Call,40,2022-09-23,3,0.1,0.11,0.11,0.11,5032,9417,"+5,696",233.56%,2022-09-20
FCX,29.72,Call,35,2022-11-18,59,1.03,1.05,1.07,1.09,895,10525,"+5,687",57.11%,2022-09-20
AMZN,122.19,Call,130,2022-09-23,3,0.32,0.33,0.35,0.32,8901,13449,"+5,660",54.74%,2022-09-20
AAPL,156.9,Put,150,2022-09-23,3,0.67,0.68,0.68,0.68,120821,18917,"+5,640",52.75%,2022-09-20
TSLA,308.73,Call,320,2022-09-23,3,2.17,2.21,2.25,2.17,46941,18470,"+5,582",54.87%,2022-09-20
AMZN,122.19,Call,130,2022-11-18,59,5.65,5.7,5.75,5.84,997,12829,"+5,582",43.98%,2022-09-20
TSLA,308.73,Call,330,2022-10-07,17,6.15,6.3,6.45,6.18,28819,7399,"+5,460",51.95%,2022-09-20
PLTK,10.44,Put,10,2022-10-21,31,0.6,0.65,0.7,0.63,2665,8692,"+5,261",70.90%,2022-09-20
PLTR,7.62,Put,7.5,2022-09-23,3,0.18,0.19,0.19,0.18,9210,11933,"+5,248",86.23%,2022-09-20
NKLA,4.56,Call,10,2024-01-19,486,0.89,0.97,1.04,0.89,1376,87916,"+5,127",89.63%,2022-09-20
AMZN,122.19,Put,120,2022-11-18,59,7.55,7.63,7.7,7.7,3423,19382,"+5,107",46.26%,2022-09-20
TSLA,308.73,Put,305,2022-09-23,3,4.8,4.85,4.9,4.9,89822,7431,"+5,102",59.66%,2022-09-20
TSLA,308.73,Put,275,2022-09-23,3,0.17,0.19,0.2,0.19,8571,12456,"+5,101",66.89%,2022-09-20
PBR,13.54,Call,17,2022-11-18,59,0.22,0.43,0.63,0.23,581,29719,"+5,077",57.69%,2022-09-20
LVS,39.28,Call,42,2022-11-18,59,2.22,2.25,2.27,2.33,13026,6577,"+5,042",51.84%,2022-09-20
AVTR,21.77,Call,22.5,2022-11-18,59,1.1,1.18,1.25,1.2,631,5036,"+5,036",42.29%,2022-09-20
CVE,18.35,Call,20,2022-11-18,59,1.05,1.08,1.1,1.05,1048,5094,"+5,020",56.93%,2022-09-20
NVDA,131.76,Call,145,2022-09-30,10,1.03,1.05,1.06,1.04,974,7189,"+4,987",56.49%,2022-09-20
AFRM,22.14,Put,20,2022-09-23,3,0.28,0.29,0.3,0.28,2554,5762,"+4,941",132.73%,2022-09-20
MSFT,242.45,Call,245,2022-10-21,31,8.25,8.35,8.45,8.3,2305,6172,"+4,889",33.11%,2022-09-20
TSLA,308.73,Call,340,2022-09-23,3,0.17,0.2,0.22,0.21,10946,12223,"+4,841",57.31%,2022-09-20
ET,11.93,Call,12,2022-09-23,3,0.13,0.14,0.15,0.15,1916,10446,"+4,722",42.73%,2022-09-20
GOOG,101.83,Put,103,2022-09-23,3,2.3,2.4,2.5,2.5,962,5775,"+4,720",50.42%,2022-09-20
MSFT,242.45,Put,245,2022-10-21,31,10.05,10.15,10.25,10.15,1593,9668,"+4,706",31.73%,2022-09-20
VZ,40.59,Call,45,2022-11-18,59,0.2,0.21,0.22,0.21,660,19538,"+4,697",22.28%,2022-09-20
TSLA,308.73,Call,330,2022-09-23,3,0.65,0.67,0.68,0.66,22957,14294,"+4,657",54.66%,2022-09-20
LTHM,33.95,Call,45,2022-10-21,31,0.25,0.28,0.3,0.28,621,7880,"+4,624",68.22%,2022-09-20
TSLA,308.73,Call,315,2022-09-23,3,3.65,3.7,3.75,3.73,82748,13443,"+4,586",56.39%,2022-09-20
F,13.09,Put,10,2025-01-17,850,1.86,1.95,2.04,1.86,1244,4794,"+4,499",48.62%,2022-09-20
PANW,175.02,Call,175,2022-10-21,31,7.7,7.9,8.1,7.4,2701,4587,"+4,443",37.88%,2022-09-20
AAPL,156.9,Call,157.5,2022-09-23,3,2.43,2.44,2.45,2.43,96311,27617,"+4,441",47.66%,2022-09-20
PANW,175.02,Put,175,2022-10-21,31,7.2,7.35,7.5,7.3,2577,4764,"+4,438",36.81%,2022-09-20
TSLA,308.73,Put,295,2022-09-23,3,1.88,1.91,1.94,1.9,23265,13851,"+4,328",60.79%,2022-09-20
F,13.09,Put,14,2023-03-17,178,2.17,2.23,2.29,2.17,754,8953,"+4,308",44.93%,2022-09-20
MARA,10.26,Call,12,2022-09-23,3,0.1,0.11,0.11,0.11,3624,6445,"+4,256",157.75%,2022-09-20
TSLA,308.73,Call,335,2022-09-23,3,0.35,0.37,0.38,0.37,5851,9224,"+4,225",55.83%,2022-09-20
INTC,28.96,Put,29,2022-10-21,31,1.26,1.28,1.29,1.28,2357,5203,"+4,202",36.71%,2022-09-20
NVDA,131.76,Put,135,2022-10-21,31,10.15,10.2,10.25,10.25,1082,38242,"+4,175",56.04%,2022-09-20
AAPL,156.9,Call,160,2023-01-20,122,11.1,11.18,11.25,11.15,1748,49658,"+4,161",32.95%,2022-09-20
AAPL,156.9,Put,152.5,2022-09-23,3,1.15,1.16,1.17,1.16,75131,13558,"+4,119",50.76%,2022-09-20
GME,27.54,Call,34,2022-09-23,3,0.2,0.22,0.23,0.22,1079,4951,"+4,118",177.54%,2022-09-20
AAPL,156.9,Put,148,2022-09-23,3,0.42,0.43,0.44,0.43,11052,10210,"+3,980",54.28%,2022-09-20
COST,499.52,Call,560,2022-10-21,31,1.81,1.91,2.01,1.68,875,4792,"+3,967",29.07%,2022-09-20
NVDA,131.76,Call,135,2022-10-21,31,7.25,7.3,7.35,7.3,1157,39574,"+3,923",56.22%,2022-09-20
TWTR,41.68,Put,30,2023-01-20,122,3.05,3.13,3.2,3.15,811,96994,"+3,907",95.68%,2022-09-20
X,20.33,Call,21,2022-09-23,3,0.27,0.28,0.29,0.28,3004,5125,"+3,819",73.70%,2022-09-20
MSFT,242.45,Call,250,2022-09-23,3,1.29,1.32,1.35,1.3,10183,7761,"+3,770",44.71%,2022-09-20
INTC,28.96,Call,29,2022-10-21,31,1.31,1.33,1.34,1.3,1597,4385,"+3,715",40.74%,2022-09-20
AAPL,156.9,Call,162.5,2022-09-23,3,0.65,0.66,0.66,0.65,40352,15655,"+3,668",43.52%,2022-09-20
TSLA,308.73,Put,292.5,2022-09-23,3,1.41,1.45,1.49,1.48,6297,5797,"+3,637",61.61%,2022-09-20
AAPL,156.9,Call,160,2022-09-23,3,1.34,1.35,1.36,1.36,114079,31854,"+3,633",45.65%,2022-09-20
CMCSA,33.84,Call,40,2022-11-18,59,0.18,0.21,0.23,0.22,1556,8441,"+3,607",32.32%,2022-09-20
CLNN,3.02,Put,2.5,2022-10-21,31,0.8,0.83,0.85,0.85,3399,20788,"+3,553",357.28%,2022-09-20
GOOGL,101.14,Put,100,2022-10-21,31,3.55,3.63,3.7,3.65,3381,15639,"+3,532",36.70%,2022-09-20
ELAN,13.85,Call,14,2023-04-21,213,2.1,2.23,2.35,2.2,689,38569,"+3,488",50.79%,2022-09-20
SNAP,11.12,Call,12,2022-09-23,3,0.1,0.11,0.11,0.11,2908,8393,"+3,482",97.39%,2022-09-20
KR,46.92,Call,49.5,2022-10-21,31,0.69,0.71,0.73,0.69,3917,3482,"+3,482",29.79%,2022-09-20
INTC,28.96,Call,30.5,2022-10-21,31,0.64,0.66,0.67,0.66,699,3394,"+3,394",37.81%,2022-09-20
CSCO,42.58,Call,45,2022-11-18,59,1,1.03,1.06,1.05,503,4887,"+3,386",29.34%,2022-09-20
TSLA,308.73,Call,345,2022-09-23,3,0.1,0.11,0.12,0.11,2577,5804,"+3,365",58.12%,2022-09-20
VALE,13.4,Call,11,2022-12-16,87,2.53,2.76,2.98,2.7,1203,6504,"+3,356",51.03%,2022-09-20
TSLA,308.73,Call,310,2022-10-21,31,19.75,19.93,20.1,19.87,2642,5643,"+3,345",56.18%,2022-09-20
LI,25.34,Call,25.5,2022-10-21,31,1.91,1.94,1.97,2.03,521,3338,"+3,338",67.56%,2022-09-20
AAPL,156.9,Call,155,2022-10-21,31,7.5,7.55,7.6,7.5,5425,31621,"+3,335",35.14%,2022-09-20
KGC,3.51,Call,4,2023-01-20,122,0.29,0.3,0.3,0.29,1594,26618,"+3,304",58.02%,2022-09-20
LYFT,16.87,Put,16.5,2022-09-23,3,0.44,0.45,0.46,0.45,3044,3699,"+3,294",102.57%,2022-09-20
NVDA,131.76,Call,140,2022-09-23,3,0.8,0.81,0.81,0.8,16697,9695,"+3,257",70.50%,2022-09-20
NIO,20.41,Put,20,2022-09-23,3,0.44,0.45,0.45,0.45,10292,9884,"+3,226",86.99%,2022-09-20
DKNG,17.47,Call,18.5,2022-09-23,3,0.25,0.26,0.27,0.25,3948,5372,"+3,200",97.80%,2022-09-20
NCLH,15.19,Call,15.5,2022-09-23,3,0.34,0.35,0.36,0.35,2654,5308,"+3,166",88.01%,2022-09-20
LCID,15.34,Call,16,2022-10-21,31,0.95,0.98,1.01,1,5234,4070,"+3,050",70.93%,2022-09-20
AAL,13.97,Put,5,2025-01-17,850,0.78,0.79,0.8,0.78,4050,108848,"+3,012",76.76%,2022-09-20
AAPL,156.9,Put,155,2022-09-30,10,3.05,3.08,3.1,3.1,18655,15052,"+3,010",38.92%,2022-09-20
DB,8.88,Call,10,2022-10-21,31,0.15,0.18,0.2,0.15,1716,49563,"+3,000",48.13%,2022-09-20
JD,56.8,Call,60,2022-09-23,3,0.25,0.26,0.27,0.26,3454,3802,"+2,973",59.81%,2022-09-20
ATUS,7.94,Call,10,2023-01-20,122,0.55,0.65,0.75,0.69,1157,4254,"+2,971",71.92%,2022-09-20
TSLA,308.73,Put,310,2022-10-21,31,20.3,20.45,20.6,20.57,1117,3997,"+2,913",56.37%,2022-09-20
NCLH,15.19,Call,15.5,2022-09-30,10,0.63,0.65,0.66,0.64,919,4454,"+2,892",77.15%,2022-09-20
AMZN,122.19,Call,150,2022-11-18,59,1.18,1.21,1.23,1.18,1042,19647,"+2,872",40.80%,2022-09-20
GOOGL,101.14,Call,110,2022-10-21,31,1.15,1.17,1.19,1.14,2923,39845,"+2,860",33.66%,2022-09-20
ATUS,7.94,Put,6,2023-01-20,122,0.4,0.45,0.5,0.4,1016,4567,"+2,850",71.57%,2022-09-20
BNGO,2.13,Call,3,2022-10-21,31,0.13,0.14,0.14,0.13,1068,8876,"+2,850",147.20%,2022-09-20
MSFT,242.45,Call,257.5,2022-09-23,3,0.29,0.3,0.3,0.31,1889,5393,"+2,845",44.26%,2022-09-20
BSX,40.43,Put,41,2022-09-23,3,0.8,0.93,1.05,0.8,2156,3944,"+2,844",31.59%,2022-09-20
TSLA,308.73,Call,305,2022-09-23,3,8.55,8.63,8.7,8.55,23769,11163,"+2,794",58.40%,2022-09-20
MSFT,242.45,Call,250,2022-09-30,10,2.7,2.76,2.82,2.77,3988,4040,"+2,790",35.36%,2022-09-20
TSLA,308.73,Put,300,2022-09-30,10,6.7,6.78,6.85,6.8,10423,7436,"+2,774",53.10%,2022-09-20
PRPL,3.94,Call,5,2022-10-21,31,0.1,0.13,0.15,0.1,1210,3750,"+2,756",85.14%,2022-09-20
BBBY,7.6,Call,9,2022-09-23,3,0.1,0.11,0.12,0.12,2747,7212,"+2,750",188.43%,2022-09-20
BAC,34.17,Call,36,2022-10-21,31,0.69,0.71,0.72,0.74,1812,16043,"+2,729",35.30%,2022-09-20
AAPL,156.9,Put,120,2022-10-21,31,0.29,0.3,0.31,0.3,1545,15938,"+2,726",51.65%,2022-09-20
WBD,13.21,Call,13.5,2022-09-23,3,0.18,0.2,0.21,0.2,6103,5455,"+2,726",67.02%,2022-09-20
TSLA,308.73,Call,308.33,2022-09-23,3,6.65,6.78,6.9,6.8,42435,5743,"+2,705",58.87%,2022-09-20
AAL,13.97,Put,14,2022-09-23,3,0.34,0.35,0.36,0.36,6711,5622,"+2,659",68.43%,2022-09-20
AMZN,122.19,Call,127,2022-09-23,3,0.8,0.83,0.86,0.85,7209,5232,"+2,648",56.89%,2022-09-20
AMZN,122.19,Put,120,2022-09-23,3,1.62,1.65,1.68,1.65,11719,10170,"+2,607",59.55%,2022-09-20
MULN,0.4379,Call,0.5,2022-10-28,38,0.05,0.08,0.1,0.1,1019,5836,"+2,599",217.16%,2022-09-20
AAPL,156.9,Put,145,2022-10-21,31,2.35,2.37,2.39,2.36,11167,43266,"+2,587",38.61%,2022-09-20
AVYA,1.81,Call,2.5,2022-10-21,31,0.2,0.25,0.3,0.3,593,3718,"+2,556",238.07%,2022-09-20
GME,27.54,Call,30,2022-09-23,3,0.5,0.51,0.52,0.51,8906,7255,"+2,551",135.71%,2022-09-20
WMT,133.55,Call,145,2022-11-18,59,1.52,1.55,1.57,1.56,7421,8620,"+2,516",24.34%,2022-09-20
AAPL,156.9,Call,175,2022-10-07,17,0.22,0.23,0.24,0.24,1067,7723,"+2,511",30.85%,2022-09-20
AMC,8.71,Call,10,2022-09-23,3,0.11,0.11,0.12,0.12,8595,10356,"+2,500",158.34%,2022-09-20
IMAX,14.99,Call,16,2022-12-16,87,1.05,1.15,1.25,1.15,3518,2504,"+2,495",52.12%,2022-09-20
GME,27.54,Put,26,2022-09-23,3,0.47,0.51,0.54,0.52,1064,3441,"+2,487",116.61%,2022-09-20
TSLA,308.73,Call,320,2022-09-30,10,5.5,5.6,5.7,5.6,15948,4849,"+2,474",49.13%,2022-09-20
TSLA,308.73,Put,288.33,2022-09-23,3,0.88,0.9,0.91,0.9,3776,4370,"+2,458",61.92%,2022-09-20
PFE,44.77,Call,45,2022-10-21,31,1.44,1.47,1.5,1.38,646,4228,"+2,451",30.65%,2022-09-20
TSLA,308.73,Call,333.33,2022-09-23,3,0.43,0.45,0.46,0.43,5707,5884,"+2,404",54.89%,2022-09-20
TSLA,308.73,Put,273.33,2022-09-23,3,0.14,0.16,0.17,0.15,1992,4073,"+2,395",67.23%,2022-09-20
PBR,13.54,Call,13,2022-10-21,31,1.09,1.17,1.24,1.19,1077,6997,"+2,389",65.84%,2022-09-20
MSFT,242.45,Call,247.5,2022-09-30,10,3.6,3.68,3.75,3.62,1478,2742,"+2,389",35.65%,2022-09-20
F,13.09,Put,10,2023-09-15,360,1,1.04,1.07,1.01,1158,6751,"+2,382",50.17%,2022-09-20
GOOG,101.83,Put,95,2022-09-23,3,0.15,0.18,0.2,0.2,542,3370,"+2,376",56.35%,2022-09-20
COIN,67.94,Put,61,2022-09-23,3,0.64,0.66,0.68,0.7,707,2506,"+2,362",124.71%,2022-09-20
PFE,44.77,Put,45,2022-10-21,31,1.56,1.6,1.63,1.57,707,9760,"+2,347",27.59%,2022-09-20
PFE,44.77,Call,45,2022-12-16,87,2.47,2.5,2.53,2.48,1526,3704,"+2,346",30.29%,2022-09-20
TSLA,308.73,Put,265,2022-09-30,10,0.8,0.83,0.85,0.84,2722,5113,"+2,332",61.49%,2022-09-20
MU,50.8,Put,50,2022-12-16,87,4.3,4.35,4.4,4.35,582,13390,"+2,325",49.43%,2022-09-20
MARA,10.26,Call,11,2022-09-23,3,0.26,0.28,0.29,0.27,2953,3016,"+2,324",146.83%,2022-09-20
TSLA,308.73,Put,306.67,2022-09-23,3,5.45,5.55,5.65,5.62,26926,4328,"+2,324",59.52%,2022-09-20
WMT,133.55,Put,130,2022-10-21,31,2.11,2.15,2.19,2.15,1216,13105,"+2,321",24.12%,2022-09-20
NIO,20.41,Put,20,2022-12-16,87,2.51,2.55,2.58,2.51,745,9448,"+2,318",70.71%,2022-09-20
TSLA,308.73,Put,300,2022-10-21,31,15.85,16,16.15,16.1,4324,33293,"+2,316",57.84%,2022-09-20
INTC,28.96,Call,30,2022-09-23,3,0.15,0.16,0.16,0.15,2957,4892,"+2,305",47.99%,2022-09-20
GOOGL,101.14,Call,104,2022-09-23,3,0.71,0.75,0.78,0.74,14207,4266,"+2,302",49.02%,2022-09-20
BABA,85.8,Call,95,2022-09-23,3,0.11,0.11,0.12,0.12,5927,4845,"+2,297",68.58%,2022-09-20
PG,137.5,Call,150,2022-11-18,59,0.83,0.86,0.88,0.92,5151,5160,"+2,289",20.29%,2022-09-20
TCOM,26.7,Call,32,2022-10-21,31,0.25,0.3,0.35,0.29,580,4313,"+2,250",53.85%,2022-09-20
BTU,22.07,Call,22,2022-10-21,31,2.1,2.18,2.25,2.15,2389,4162,"+2,225",81.87%,2022-09-20
TSLA,308.73,Put,255,2022-09-30,10,0.42,0.44,0.45,0.44,2772,5314,"+2,221",64.74%,2022-09-20
AMZN,122.19,Put,119,2022-09-30,10,2.44,2.48,2.52,2.49,877,2219,"+2,219",49.07%,2022-09-20
AAL,13.97,Call,14.5,2022-09-30,10,0.3,0.31,0.32,0.32,1743,4153,"+2,219",57.60%,2022-09-20
GOOGL,101.14,Put,100,2022-09-23,3,1.24,1.28,1.31,1.36,5684,6919,"+2,214",49.35%,2022-09-20
CLF,14.56,Call,18,2022-10-21,31,0.2,0.21,0.22,0.21,1104,7596,"+2,210",65.36%,2022-09-20
F,13.09,Put,14.5,2022-09-23,3,1.41,1.43,1.45,1.43,3382,7674,"+2,199",69.16%,2022-09-20
PLUG,26,Call,27.5,2022-09-23,3,0.31,0.33,0.35,0.33,1065,2510,"+2,189",91.37%,2022-09-20
MSFT,242.45,Call,247.5,2022-09-23,3,1.91,2,2.08,2.01,5490,3551,"+2,186",45.54%,2022-09-20
AMD,75.25,Call,80,2022-09-23,3,0.39,0.4,0.4,0.4,10384,8967,"+2,185",67.64%,2022-09-20
BAC,34.17,Call,35.5,2022-09-23,3,0.14,0.15,0.15,0.15,3464,7303,"+2,180",47.00%,2022-09-20
MSFT,242.45,Call,255,2022-10-21,31,4.15,4.2,4.25,4.15,1429,12948,"+2,176",31.04%,2022-09-20
RIVN,35.75,Put,33,2022-09-23,3,0.27,0.29,0.3,0.27,1098,2811,"+2,175",93.72%,2022-09-20
ARDX,1.28,Call,2.5,2022-11-18,59,0.2,0.28,0.35,0.2,873,2229,"+2,154",222.51%,2022-09-20
IBM,126.3,Call,145,2022-10-21,31,0.24,0.27,0.3,0.27,2217,8239,"+2,150",29.92%,2022-09-20
TCOM,26.7,Call,28,2022-10-21,31,1.15,1.2,1.25,1.3,1846,3700,"+2,143",55.16%,2022-09-20
MSFT,242.45,Call,245,2022-09-23,3,2.91,2.95,2.99,2.97,16257,3737,"+2,138",46.62%,2022-09-20
XOM,92.44,Put,75,2022-11-18,59,1.03,1.06,1.08,1.06,2199,9336,"+2,137",46.76%,2022-09-20
NVDA,131.76,Call,135,2022-09-23,3,2.18,2.2,2.21,2.17,19102,6682,"+2,117",74.14%,2022-09-20
TSLA,308.73,Call,300,2022-10-21,31,25.3,25.5,25.7,25.45,7300,35121,"+2,104",57.81%,2022-09-20
AAPL,156.9,Put,147,2022-09-23,3,0.33,0.34,0.34,0.33,6938,5587,"+2,101",54.67%,2022-09-20
AMZN,122.19,Put,111,2022-09-23,3,0.17,0.18,0.19,0.18,730,2343,"+2,092",67.77%,2022-09-20
TWTR,41.68,Call,45,2022-10-21,31,1.52,1.64,1.75,1.62,577,29567,"+2,079",58.82%,2022-09-20
AMZN,122.19,Put,122,2022-09-23,3,2.45,2.47,2.49,2.49,19205,7574,"+2,074",58.76%,2022-09-20
AAPL,156.9,Put,150,2022-10-21,31,3.5,3.53,3.55,3.56,19969,74248,"+2,048",36.36%,2022-09-20
GOOGL,101.14,Call,105,2022-09-23,3,0.48,0.49,0.5,0.48,6230,5151,"+2,044",47.71%,2022-09-20
AMC,8.71,Call,9.5,2022-09-23,3,0.17,0.18,0.19,0.18,7222,6392,"+2,028",143.94%,2022-09-20
CRON,3.01,Put,3,2022-10-21,31,0.16,0.21,0.25,0.21,3118,27346,"+2,014",62.50%,2022-09-20
AAPL,156.9,Call,150,2022-10-21,31,10.85,10.9,10.95,10.8,2941,18763,"+2,012",37.78%,2022-09-20
AMAT,88.12,Call,100,2022-10-21,31,1.06,1.09,1.12,1.15,620,6402,"+2,010",44.66%,2022-09-20
PLBY,4.09,Call,5,2022-10-21,31,0.14,0.15,0.16,0.15,14951,3582,"+2,009",89.32%,2022-09-20
AAPL,156.9,Call,150,2022-09-23,3,7.6,7.7,7.8,7.65,5438,9217,"+2,005",54.12%,2022-09-20
