,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,OI Chg,IV,Time
154,AAL,13.47,Put,13.0,2022-09-16,2.0,0.11,0.11,0.12,0.13,700.0,40195.0,+165,74.00%,09:52 ET
173,AAPL,155.44,Call,150.0,2022-09-16,2.0,6.0,6.05,6.1,5.94,682.0,48536.0,-941,50.02%,09:52 ET
121,AAPL,155.44,Call,152.5,2022-09-16,2.0,3.85,3.88,3.9,3.95,1506.0,17736.0,+645,43.46%,09:53 ET
174,AAPL,155.44,Call,155.0,2022-09-16,2.0,2.28,2.29,2.3,2.31,13144.0,48254.0,-773,43.51%,09:53 ET
19,AAPL,155.44,Call,157.5,2022-09-16,2.0,1.08,1.09,1.1,1.12,13818.0,28198.0,"+4,174",41.18%,09:53 ET
3,AAPL,155.44,Call,160.0,2022-09-16,2.0,0.45,0.46,0.46,0.46,23421.0,92624.0,"+6,629",41.06%,09:53 ET
18,AAPL,155.44,Call,162.5,2022-09-16,2.0,0.17,0.18,0.18,0.17,4574.0,22633.0,"+4,335",41.42%,09:53 ET
177,AAPL,155.44,Put,145.0,2022-09-16,2.0,0.13,0.14,0.14,0.14,1941.0,39956.0,-633,58.26%,09:53 ET
41,AAPL,155.44,Put,147.0,2022-09-16,2.0,0.22,0.23,0.23,0.23,2356.0,18623.0,"+2,786",54.98%,09:53 ET
42,AAPL,155.44,Put,148.0,2022-09-16,2.0,0.29,0.3,0.3,0.29,2418.0,5922.0,"+2,731",53.08%,09:53 ET
55,AAPL,155.44,Put,149.0,2022-09-16,2.0,0.37,0.38,0.38,0.41,994.0,8536.0,"+2,201",51.52%,09:52 ET
179,AAPL,155.44,Put,150.0,2022-09-16,2.0,0.48,0.49,0.49,0.48,13658.0,101497.0,-557,49.80%,09:53 ET
23,AAPL,155.44,Put,152.5,2022-09-16,2.0,0.92,0.93,0.94,0.92,12651.0,28058.0,"+3,979",46.33%,09:53 ET
162,AAPL,155.44,Put,155.0,2022-09-16,2.0,1.76,1.77,1.77,1.71,12788.0,60064.0,"-12,700",44.37%,09:53 ET
78,AAPL,155.44,Put,157.5,2022-09-16,2.0,3.1,3.13,3.15,3.05,2437.0,22866.0,"+1,590",43.48%,09:53 ET
