Symbol,Type,Strike,Open Int,OI Chg,Volume,Price,IV
F,Put,16.0,146857.0,-363,1484.0,14.72,119.44%
F,Put,15.5,9299.0,-540,1593.0,14.72,84.76%
F,Put,15.0,116617.0,"-9,042",53975.0,14.72,52.79%
F,Call,14.5,2339.0,-857,11530.0,14.72,39.49%
F,Call,14.0,29363.0,-485,3157.0,14.72,60.33%
F,Call,13.0,25563.0,-381,738.0,14.72,166.55%
F,Call,12.0,12835.0,-192,666.0,14.72,233.38%
AAPL,Put,170.0,32196.0,-210,733.0,150.7,187.22%
AAPL,Put,165.0,56553.0,"-5,049",1832.0,150.7,177.73%
AAPL,Put,162.5,10915.0,-910,3883.0,150.7,151.21%
AAPL,Put,160.0,40418.0,"-4,910",4949.0,150.7,137.91%
AAPL,Put,157.5,20055.0,"-3,080",3412.0,150.7,41.36%
AAPL,Put,155.0,34995.0,"-23,986",14856.0,150.7,32.94%
AAPL,Put,152.5,31120.0,"-4,510",23955.0,150.7,62.85%
AAPL,Call,150.0,34976.0,"-12,763",185407.0,150.7,10.72%
AAPL,Call,145.0,14472.0,-142,4247.0,150.7,43.96%
AAPL,Call,140.0,20452.0,-224,1234.0,150.7,0.00%
AAPL,Call,135.0,7634.0,-108,566.0,150.7,193.51%
AAPL,Call,130.0,13320.0,-158,754.0,150.7,0.00%
AAPL,Call,125.0,21065.0,-117,968.0,150.7,158.24%
AMZN,Put,140.0,46920.0,"-1,061",986.0,123.53,142.69%
AMZN,Put,135.0,20163.0,"-1,389",1198.0,123.53,102.05%
AMZN,Put,133.0,6227.0,-363,841.0,123.53,88.21%
AMZN,Put,132.5,23499.0,-163,732.0,123.53,54.89%
AMZN,Put,132.0,5846.0,-922,609.0,123.53,52.28%
AMZN,Put,131.0,5745.0,-137,946.0,123.53,57.04%
AMZN,Put,130.0,32371.0,"-5,703",3619.0,123.53,66.15%
AMZN,Put,129.0,5588.0,+578,1563.0,123.53,63.17%
AMZN,Put,128.0,8622.0,"+1,378",2364.0,123.53,54.66%
AMZN,Put,127.5,6111.0,-258,1159.0,123.53,46.07%
AMZN,Put,127.0,8017.0,+539,3313.0,123.53,41.78%
AMZN,Put,126.0,7482.0,"+1,000",4109.0,123.53,33.53%
AMZN,Put,125.0,20156.0,-763,15369.0,123.53,24.24%
AMZN,Put,124.0,7913.0,-127,7009.0,123.53,5.01%
AMZN,Call,123.0,4551.0,-124,56488.0,123.53,12.21%
AMZN,Call,120.0,84065.0,-426,85088.0,123.53,27.48%
