,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Midpoint,Ask,Last,Volume,Open Int,OI Chg,IV,Time
0,CLVS,1.49,Call,1.5,2022-09-16,3.0,0.03,0.07,0.11,0.11,7653.0,27255.0,"+25,323",212.66%,2022-09-13
1,CHPT,17.54,Call,18.5,2022-09-16,3.0,0.21,0.23,0.25,0.24,3902.0,28622.0,"+23,906",92.28%,2022-09-13
2,AAPL,153.84,Put,160.0,2022-09-16,3.0,6.25,6.4,6.55,6.5,46433.0,54498.0,"+18,531",38.44%,2022-09-13
3,NIO,21.97,Put,20.0,2022-09-16,3.0,0.13,0.14,0.14,0.14,17771.0,25108.0,"+13,073",98.39%,2022-09-13
4,NIO,21.97,Put,20.5,2022-09-16,3.0,0.2,0.21,0.21,0.21,11226.0,12786.0,"+12,104",93.69%,2022-09-13
5,AAPL,153.84,Put,155.0,2022-09-16,3.0,2.64,2.67,2.7,2.64,108782.0,72764.0,"+11,438",36.15%,2022-09-13
6,BAC,34.0,Put,35.0,2022-09-16,3.0,1.09,1.13,1.17,1.06,16616.0,39589.0,"+10,592",37.68%,2022-09-13
7,CHPT,17.54,Put,18.0,2022-09-16,3.0,0.8,0.83,0.86,0.83,1094.0,11205.0,"+10,501",89.15%,2022-09-13
8,AAPL,153.84,Put,162.5,2022-09-16,3.0,7.8,8.28,8.75,8.75,7785.0,14889.0,"+9,745",36.39%,2022-09-13
9,TSLA,292.13,Call,310.0,2022-09-16,3.0,0.41,0.43,0.44,0.41,50232.0,25089.0,"+8,883",45.20%,2022-09-13
10,NIO,21.97,Put,21.0,2022-09-16,3.0,0.32,0.33,0.33,0.33,20724.0,7217.0,"+7,087",91.89%,2022-09-13
11,AAPL,153.84,Put,157.5,2022-09-16,3.0,4.05,4.2,4.35,4.32,56345.0,21276.0,"+6,713",35.39%,2022-09-13
12,SNAP,11.77,Call,12.0,2022-09-16,3.0,0.25,0.26,0.26,0.25,8274.0,34096.0,"+6,661",81.97%,2022-09-13
13,FCX,31.05,Put,31.5,2022-09-16,3.0,0.97,1.0,1.03,1.02,2925.0,7581.0,"+5,978",68.65%,2022-09-13
14,TSLA,292.13,Put,280.0,2022-09-16,3.0,1.42,1.5,1.58,1.55,41424.0,17110.0,"+5,870",54.91%,2022-09-13
15,INO,2.07,Call,2.0,2022-09-16,3.0,0.13,0.15,0.17,0.18,1401.0,5626.0,"+5,191",151.35%,2022-09-13
16,XPEV,16.14,Call,17.0,2022-09-16,3.0,0.16,0.17,0.17,0.19,12566.0,11771.0,"+4,767",79.40%,2022-09-13
17,WEN,20.0,Call,21.0,2022-09-16,3.0,0.1,0.13,0.15,0.14,1883.0,7393.0,"+4,642",65.37%,2022-09-13
18,TWTR,41.74,Put,38.0,2022-09-16,3.0,0.14,0.16,0.17,0.14,5534.0,18379.0,"+4,559",81.21%,2022-09-13
19,TSLA,292.13,Put,290.0,2022-09-16,3.0,4.25,4.35,4.45,4.38,95972.0,15904.0,"+4,460",51.31%,2022-09-13
20,NIO,21.97,Call,23.0,2022-09-16,3.0,0.28,0.29,0.3,0.3,12828.0,7531.0,"+4,431",85.61%,2022-09-13
21,TPX,27.67,Call,27.5,2022-09-16,3.0,0.65,0.73,0.8,0.75,3352.0,7368.0,"+4,352",66.22%,2022-09-13
22,TSLA,292.13,Put,295.0,2022-09-16,3.0,6.6,6.78,6.95,6.75,66608.0,10222.0,"+4,273",49.16%,2022-09-13
23,FUBO,4.61,Call,5.0,2022-09-16,3.0,0.14,0.15,0.16,0.14,28383.0,15706.0,"+4,264",169.77%,2022-09-13
24,ORCL,76.04,Call,80.0,2022-09-16,3.0,0.14,0.15,0.16,0.16,22520.0,14185.0,"+4,227",44.75%,2022-09-13
25,WFC,43.22,Put,45.0,2022-09-16,3.0,1.77,1.86,1.94,1.93,10480.0,52510.0,"+4,226",44.65%,2022-09-13
26,NIO,21.97,Call,23.5,2022-09-16,3.0,0.19,0.2,0.2,0.2,6944.0,5319.0,"+4,177",87.60%,2022-09-13
27,NCLH,14.4,Put,15.0,2022-09-16,3.0,0.74,0.78,0.81,0.8,5227.0,10148.0,"+4,161",82.40%,2022-09-13
28,AMC,9.72,Call,11.0,2022-09-16,3.0,0.14,0.15,0.15,0.14,8365.0,16155.0,"+4,146",150.45%,2022-09-13
29,COIN,75.25,Put,69.0,2022-09-16,3.0,0.89,0.94,0.99,0.96,716.0,4422.0,"+4,008",120.86%,2022-09-13
30,TSLA,292.13,Put,292.5,2022-09-16,3.0,5.25,5.43,5.6,5.51,32480.0,6345.0,"+3,966",50.60%,2022-09-13
31,AMC,9.72,Call,10.5,2022-09-16,3.0,0.21,0.22,0.22,0.22,6367.0,6683.0,"+3,907",142.08%,2022-09-13
32,TSLA,292.13,Call,305.0,2022-09-16,3.0,0.9,0.96,1.01,0.95,60629.0,15238.0,"+3,754",45.52%,2022-09-13
33,CZR,45.58,Call,50.0,2022-09-16,3.0,0.1,0.14,0.18,0.17,3019.0,6414.0,"+3,739",80.43%,2022-09-13
34,NIO,21.97,Call,22.0,2022-09-16,3.0,0.64,0.66,0.68,0.65,22065.0,8120.0,"+3,707",83.39%,2022-09-13
35,ARRY,19.92,Put,20.0,2022-09-16,3.0,0.6,0.68,0.75,0.65,1761.0,5661.0,"+3,564",84.66%,2022-09-13
36,LYFT,16.88,Put,18.0,2022-09-16,3.0,1.27,1.31,1.34,1.31,3292.0,4269.0,"+3,559",93.75%,2022-09-13
37,UAA,8.6,Put,9.0,2022-09-16,3.0,0.44,0.49,0.54,0.45,3635.0,3617.0,"+3,539",58.73%,2022-09-13
38,AMC,9.72,Put,10.0,2022-09-16,3.0,0.64,0.65,0.66,0.67,4524.0,6854.0,"+3,450",139.91%,2022-09-13
39,TSLA,292.13,Call,315.0,2022-09-16,3.0,0.19,0.2,0.21,0.19,26846.0,16101.0,"+3,444",46.48%,2022-09-13
40,NIO,21.97,Call,24.0,2022-09-16,3.0,0.13,0.14,0.14,0.13,10499.0,4875.0,"+3,391",89.25%,2022-09-13
41,BABA,89.47,Call,94.0,2022-09-16,3.0,0.5,0.51,0.51,0.51,4952.0,5610.0,"+3,381",60.60%,2022-09-13
42,ALT,20.38,Call,22.0,2022-09-16,3.0,2.05,2.25,2.45,2.05,2376.0,5561.0,"+3,349",365.09%,2022-09-13
43,LCID,16.1,Call,17.0,2022-09-16,3.0,0.12,0.13,0.13,0.12,42119.0,5829.0,"+3,325",71.30%,2022-09-13
44,DKNG,17.35,Call,19.0,2022-09-16,3.0,0.08,0.09,0.1,0.1,5435.0,7949.0,"+3,308",90.17%,2022-09-13
45,UBER,31.32,Put,32.5,2022-09-16,3.0,1.37,1.41,1.45,1.45,1071.0,21625.0,"+3,307",61.90%,2022-09-13
46,DAL,31.74,Put,30.0,2022-09-16,3.0,0.13,0.14,0.15,0.14,2494.0,12304.0,"+3,295",61.59%,2022-09-13
47,TSLA,292.13,Call,320.0,2022-09-16,3.0,0.1,0.11,0.12,0.11,16173.0,17592.0,"+3,274",49.59%,2022-09-13
48,OXY,65.34,Call,70.0,2022-09-16,3.0,0.18,0.19,0.2,0.18,18555.0,18776.0,"+3,268",59.94%,2022-09-13
49,BBIG,1.08,Call,1.0,2022-09-16,3.0,0.12,0.13,0.13,0.13,3066.0,16397.0,"+3,256",223.51%,2022-09-13
50,ORCL,76.04,Put,73.0,2022-09-16,3.0,0.18,0.22,0.26,0.23,3482.0,4777.0,"+3,239",43.60%,2022-09-13
51,ORCL,76.04,Put,72.0,2022-09-16,3.0,0.1,0.13,0.16,0.14,1652.0,6143.0,"+3,206",46.23%,2022-09-13
52,XOM,95.33,Call,99.0,2022-09-16,3.0,0.2,0.22,0.23,0.21,2254.0,4752.0,"+3,194",36.94%,2022-09-13
53,ELAN,15.37,Call,16.0,2022-09-16,3.0,0.1,0.15,0.2,0.19,4634.0,3369.0,"+3,170",76.40%,2022-09-13
54,TSLA,292.13,Put,291.67,2022-09-16,3.0,4.95,5.08,5.2,5.1,19839.0,4367.0,"+3,109",50.69%,2022-09-13
55,XOM,95.33,Put,94.0,2022-09-16,3.0,0.83,0.85,0.86,0.85,2481.0,5010.0,"+3,108",41.29%,2022-09-13
